ID     | Command line                                                                                              | Date and time    | Action(s)      | Altered
    16 | install https://download1.rpmfusion.org/free/fedora/rpmfusion-free-release-37.noarch.rpm -y               | 2023-02-14 11:03 | Install        |    1   
    15 | install keepassxc-2.7.4-4.fc37.x86_64                                                                     | 2023-02-14 10:03 | Install        |    5   
    14 | install ffmpeg-free ffmpeg-free-devel                                                                     | 2023-02-14 09:58 | Install        |   55   
    13 | install -y glib2-devel                                                                                    | 2023-02-14 09:55 | Install        |    9   
    12 | install -y sassc                                                                                          | 2023-02-14 09:48 | Install        |    2   
    11 | install gnome-extensions-app-43~beta-1.fc37.x86_64                                                        | 2023-02-14 09:32 | Install        |    1   
    10 | install nodejs npm                                                                                        | 2023-02-14 09:26 | Install        |    5   
     9 | install sqlite                                                                                            | 2023-02-14 09:25 | Install        |    1   
     8 |                                                                                                           | 2023-02-14 09:12 | Install        |    1   
     7 | install kitty                                                                                             | 2023-02-14 09:10 | Install        |    4   
     6 |                                                                                                           | 2023-02-13 21:46 | I, U           |  671   
     5 | install neovim                                                                                            | 2023-02-13 21:29 | Install        |   11   
     4 | install zsh                                                                                               | 2023-02-13 21:15 | Install        |    1   
     3 |                                                                                                           | 2023-02-13 20:52 | Install        |    1   
     2 |                                                                                                           | 2023-02-13 20:51 | I, U           |    7  <
     1 |                                                                                                           | 2022-11-05 14:10 | Install        | 1796 >E
